2026-05-03 08:02:53.168 [main] INFO  c.a.n.c.env.SearchableProperties - properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
2026-05-03 08:02:53.228 [main] INFO  c.g.s.SystemServiceApplication - Starting SystemServiceApplication using Java 21.0.10 on DESKTOP-KIBNON4 with PID 30656 (D:\IDEA-WorkSpace\gov-todo-micro\gov-todo-micro\system-service\target\classes started by MECHREVO in D:\IDEA-WorkSpace\gov-todo-micro\gov-todo-micro\system-service)
2026-05-03 08:02:53.228 [main] DEBUG c.g.s.SystemServiceApplication - Running with Spring Boot v2.7.15, Spring v5.3.29
2026-05-03 08:02:53.228 [main] INFO  c.g.s.SystemServiceApplication - The following 1 profile is active: "dev"
2026-05-03 08:02:53.594 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-05-03 08:02:53.596 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-03 08:02:53.608 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2026-05-03 08:02:53.728 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=fcb436ae-564e-3bdb-8fdc-9126446614d7
2026-05-03 08:02:54.078 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8091 (http)
2026-05-03 08:02:54.082 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8091"]
2026-05-03 08:02:54.083 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-03 08:02:54.084 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
2026-05-03 08:02:54.153 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-03 08:02:54.153 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 899 ms
2026-05-03 08:02:54.409 [main] DEBUG c.g.s.config.JwtAuthorizationFilter - Filter 'jwtAuthorizationFilter' configured for use
2026-05-03 08:02:54.512 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
2026-05-03 08:02:54.610 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6c1b82cd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@acd3460, org.springframework.security.web.context.SecurityContextPersistenceFilter@5d5574c7, org.springframework.security.web.header.HeaderWriterFilter@70022d44, org.springframework.web.filter.CorsFilter@3ea9a091, org.springframework.security.web.authentication.logout.LogoutFilter@f1d1463, com.gov.systemservice.config.JwtAuthenticationFilter@16f4a3c0, com.gov.systemservice.config.JwtAuthorizationFilter@74764622, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@36871e98, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@459bf87c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@26495639, org.springframework.security.web.session.SessionManagementFilter@5abbb273, org.springframework.security.web.access.ExceptionTranslationFilter@fe08eaf, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4fd3b20a]
2026-05-03 08:02:55.847 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-05-03 08:02:56.989 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-05-03 08:02:57.049 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8091"]
2026-05-03 08:02:57.060 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8091 (http) with context path ''
2026-05-03 08:02:57.086 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2026-05-03 08:02:57.086 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2026-05-03 08:02:57.509 [main] INFO  c.a.c.n.r.NacosServiceRegistry - nacos registry, DEFAULT_GROUP system-service 192.168.80.1:8091 register finished
2026-05-03 08:02:58.520 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-05-03 08:02:58.529 [main] INFO  c.g.s.SystemServiceApplication - Started SystemServiceApplication in 6.742 seconds (JVM running for 6.96)
